   4.67,10^6bits/s,2.101,1439038200.940
   6.26,10^6bits/s,2.070,1439038203.010
  11.45,10^6bits/s,2.000,1439038205.010
  12.89,10^6bits/s,2.000,1439038207.010
  12.69,10^6bits/s,2.029,1439038209.039
  12.48,10^6bits/s,2.034,1439038211.074
  12.80,10^6bits/s,2.042,1439038213.115
  13.19,10^6bits/s,2.103,1439038215.219
  12.89,10^6bits/s,2.046,1439038217.265
  12.58,10^6bits/s,2.050,1439038219.315
  12.50,10^6bits/s,2.012,1439038221.327
  12.33,10^6bits/s,2.027,1439038223.354
  12.93,10^6bits/s,2.055,1439038225.409
  12.62,10^6bits/s,2.050,1439038227.460
  12.50,10^6bits/s,2.018,1439038229.478
  12.96,10^6bits/s,2.078,1439038231.556
  10.28,10^6bits/s,2.542,1439038234.098
  16.44,10^6bits/s,2.000,1439038236.098
  12.62,10^6bits/s,2.606,1439038238.704
   6.30,10^6bits/s,0.135,1439038238.840
   4.03,10^6bits/s,6.258,1439038246.387
  11.69,10^6bits/s,2.034,1439038248.420
  13.11,10^6bits/s,2.003,1439038250.424
  12.92,10^6bits/s,2.030,1439038252.454
  12.89,10^6bits/s,2.003,1439038254.457
  12.82,10^6bits/s,2.012,1439038256.469
  12.54,10^6bits/s,2.044,1439038258.513
  12.47,10^6bits/s,2.012,1439038260.524
  13.06,10^6bits/s,2.094,1439038262.618
  12.81,10^6bits/s,2.039,1439038264.657
  12.52,10^6bits/s,2.045,1439038266.702
  12.47,10^6bits/s,2.009,1439038268.711
  13.07,10^6bits/s,2.092,1439038270.803
  12.81,10^6bits/s,2.039,1439038272.842
  12.53,10^6bits/s,2.045,1439038274.888
  12.43,10^6bits/s,2.016,1439038276.903
  12.29,10^6bits/s,2.022,1439038278.925
  12.81,10^6bits/s,1.203,1439038280.129
   3.57,10^6bits/s,6.882,1439038287.516
  10.64,10^6bits/s,2.046,1439038289.562
  12.95,10^6bits/s,2.020,1439038291.582
  12.89,10^6bits/s,2.009,1439038293.591
  12.64,10^6bits/s,2.041,1439038295.632
   8.81,10^6bits/s,2.882,1439038298.515
  14.62,10^6bits/s,5.675,1439038304.190
  12.95,10^6bits/s,2.260,1439038306.450
  13.42,10^6bits/s,2.027,1439038308.477
  11.87,10^6bits/s,2.261,1439038310.738
  12.92,10^6bits/s,2.079,1439038312.817
  12.72,10^6bits/s,2.031,1439038314.848
  12.48,10^6bits/s,2.039,1439038316.887
  13.10,10^6bits/s,2.067,1439038318.954
  13.21,10^6bits/s,1.681,1439038320.635
4194304,6291456,16384,40.04,11.42,10^6bits/s
